go_id	Evidence	gene_id
GO:0000242	ISO	hook3
GO:0005813	ISO	hook3
GO:0034451	ISO	hook3
GO:0070695	ISO	hook3
GO:0003755	ISO	fkbp3
GO:0003723	ISO	fkbp3
GO:0005634	ISO	fkbp3
GO:0016853	ISO	fkbp3
GO:0005515	ISO	fkbp3
GO:0000413	ISO	fkbp3
GO:0038023	ISO	fkbp3
GO:0005528	ISO	fkbp3
GO:0005515	ISO	trappc8
GO:0005794	ISO	trappc8
GO:0005515	ISO	trappc8
GO:0016192	ISO	trappc8
GO:0006888	ISO	trappc8
GO:0005829	ISO	trappc8
GO:0000045	ISO	trappc8
GO:0000407	ISO	trappc8
GO:0030008	ISO	trappc8
GO:0031410	ISO	trappc8
GO:0007030	ISO	trappc8
GO:0034497	ISO	trappc8
GO:1990072	ISO	trappc8
GO:0030242	ISO	trappc8
GO:0005576	ISO	cyr61
GO:0005515	ISO	cyr61
GO:0005520	ISO	cyr61
GO:0030335	ISO	cyr61
GO:0045944	ISO	cyr61
GO:0001934	ISO	cyr61
GO:0030513	ISO	cyr61
GO:0045669	ISO	cyr61
GO:0070372	ISO	cyr61
GO:0000166	ISO	cyr61
GO:0007155	ISO	cyr61
GO:0006935	ISO	cyr61
GO:0007165	ISO	cyr61
GO:0031012	ISO	cyr61
GO:0008201	ISO	cyr61
GO:0044267	ISO	cyr61
GO:0062023	ISO	cyr61
GO:0043687	ISO	cyr61
GO:0007155	ISO	cyr61
GO:0005178	ISO	cyr61
GO:0030501	ISO	cyr61
GO:0005788	ISO	cyr61
GO:0005201	ISO	cyr61
GO:0045860	ISO	cyr61
GO:0005178	ISO	cyr61
GO:0008201	ISO	cyr61
GO:0019838	ISO	cyr61
GO:0050840	ISO	cyr61
GO:0001649	ISO	cyr61
GO:0002041	ISO	cyr61
GO:0003181	ISO	cyr61
GO:0003278	ISO	cyr61
GO:0003281	ISO	cyr61
GO:0010518	ISO	cyr61
GO:0010811	ISO	cyr61
GO:0030198	ISO	cyr61
GO:0030335	ISO	cyr61
GO:0033690	ISO	cyr61
GO:0043065	ISO	cyr61
GO:0043066	ISO	cyr61
GO:0043280	ISO	cyr61
GO:0044319	ISO	cyr61
GO:0045597	ISO	cyr61
GO:0060413	ISO	cyr61
GO:0060548	ISO	cyr61
GO:0060591	ISO	cyr61
GO:0060710	ISO	cyr61
GO:0060716	ISO	cyr61
GO:0061036	ISO	cyr61
GO:0072593	ISO	cyr61
GO:0098609	ISO	cyr61
GO:2000304	ISO	cyr61
GO:0007165	ISO	arhgap22
GO:0005634	ISO	arhgap22
GO:0005737	ISO	arhgap22
GO:0005925	ISO	arhgap22
GO:0043547	ISO	arhgap22
GO:0005515	ISO	arhgap22
GO:0007275	ISO	arhgap22
GO:0030154	ISO	arhgap22
GO:0005096	ISO	arhgap22
GO:0005829	ISO	arhgap22
GO:0051056	ISO	arhgap22
GO:0001525	ISO	arhgap22
GO:0098978	ISO	arhgap22
GO:0098978	ISO	arhgap22
GO:0099175	ISO	arhgap22
GO:0099175	ISO	arhgap22
GO:0006355	ISO	LOC107375594
GO:0003700	ISO	LOC107375594
GO:0003676	ISO	LOC107375594
GO:0005634	ISO	LOC107375594
GO:0046872	ISO	LOC107375594
GO:0003677	ISO	LOC107375594
GO:0006357	ISO	LOC107375594
GO:0000981	ISO	LOC107375594
GO:0016020	ISO	LOC107390777
GO:0005044	ISO	LOC107390777
GO:0005737	ISO	LOC107390777
GO:0015031	ISO	LOC107390777
GO:0005615	ISO	LOC107390777
GO:0005515	ISO	LOC107390777
GO:0005576	ISO	LOC107390777
GO:0005576	ISO	LOC107390777
GO:0007275	ISO	LOC107390777
GO:0030154	ISO	LOC107390777
GO:0045087	ISO	LOC107390777
GO:0005615	ISO	LOC107390777
GO:0009897	ISO	LOC107390777
GO:0050830	ISO	LOC107390777
GO:0006897	ISO	LOC107390777
GO:0051607	ISO	LOC107390777
GO:0031012	ISO	LOC107390777
GO:0070062	ISO	LOC107390777
GO:0050829	ISO	LOC107390777
GO:0030670	ISO	LOC107390777
GO:0044267	ISO	LOC107390777
GO:0005044	ISO	LOC107390777
GO:0005044	ISO	LOC107390777
GO:0048306	ISO	LOC107390777
GO:0016032	ISO	LOC107390777
GO:0019898	ISO	LOC107390777
GO:0030855	ISO	LOC107390777
GO:0030855	ISO	LOC107390777
GO:0038187	ISO	LOC107390777
GO:0043152	ISO	LOC107390777
GO:0042589	ISO	LOC107390777
GO:0035375	ISO	LOC107390777
GO:0007186	ISO	LOC107374571
GO:0016021	ISO	LOC107374571
GO:0004930	ISO	LOC107374571
GO:0005623	ISO	LOC107374571
GO:0016020	ISO	LOC107374571
GO:0046872	ISO	LOC107374571
GO:0042803	ISO	LOC107374571
GO:0005886	ISO	LOC107374571
GO:0005515	ISO	LOC107374571
GO:0007165	ISO	LOC107374571
GO:0004930	ISO	LOC107374571
GO:0007186	ISO	LOC107374571
GO:0007186	ISO	LOC107374571
GO:0005509	ISO	LOC107374571
GO:0005886	ISO	LOC107374571
GO:0005887	ISO	LOC107374571
GO:0005887	ISO	LOC107374571
GO:0005509	ISO	LOC107374571
GO:0038023	ISO	LOC107374571
GO:0007186	ISO	LOC107374571
GO:0004930	ISO	LOC107374571
GO:0004930	ISO	LOC107374571
GO:0005887	ISO	LOC107374571
GO:0004435	ISO	LOC107374571
GO:0009653	ISO	LOC107374571
GO:0006874	ISO	LOC107374571
GO:0006874	ISO	LOC107374571
GO:0001503	ISO	LOC107374571
GO:0006874	ISO	LOC107374571
GO:0016597	ISO	LOC107374571
GO:0005513	ISO	LOC107374571
GO:0005513	ISO	LOC107374571
GO:0005513	ISO	LOC107374571
GO:0007635	ISO	LOC107374571
GO:0051924	ISO	LOC107374571
GO:0070509	ISO	LOC107374571
GO:0005178	ISO	LOC107374571
GO:0019901	ISO	LOC107374571
GO:0044325	ISO	LOC107374571
GO:0001503	ISO	LOC107374571
GO:0002931	ISO	LOC107374571
GO:0005513	ISO	LOC107374571
GO:0006874	ISO	LOC107374571
GO:0006915	ISO	LOC107374571
GO:0007193	ISO	LOC107374571
GO:0007200	ISO	LOC107374571
GO:0007254	ISO	LOC107374571
GO:0008284	ISO	LOC107374571
GO:0010038	ISO	LOC107374571
GO:0010628	ISO	LOC107374571
GO:0014070	ISO	LOC107374571
GO:0032024	ISO	LOC107374571
GO:0032781	ISO	LOC107374571
GO:0032782	ISO	LOC107374571
